Code__c,Name,IsActive__c
7716,COMMERCIAL PROPERTY OPERATORS (EXC. RETIREMENT VILLAGES),TRUE
7720,REAL ESTATE AGENTS,TRUE
7730,NON-FINANCIAL ASSET INVESTORS,TRUE
7741,MOTOR VEHICLE HIRING,TRUE
7742,OTHER TRANSPORT EQUIPMENT LEASING,TRUE
7743,PLANT HIRING OR LEASING,TRUE
7810,SCIENTIFIC RESEARCH,TRUE
7821,ARCHITECTURAL SERVICES,TRUE
7822,SURVEYING SERVICES,TRUE
7823,CONSULTANT ENGINEERING SERVICES,TRUE
7829,TECHNICAL SERVICES n.e.c.,TRUE
7831,DATA PROCESSING SERVICES,TRUE
7832,INFORMATION STORAGE & RETRIEVAL SERVICES,TRUE
7833,COMPUTER MAINTENANCE SERVICES,TRUE
7834,COMPUTER CONSULTANCY SERVICES,TRUE
7841,LEGAL SERVICES,TRUE
7842,ACCOUNTANCY SERVICES,TRUE
7851,ADVERTISING SERVICES,TRUE
7852,COMMERCIAL ART & DISPLAY SERVICES,TRUE
7853,MARKET RESEARCH SERVICES,TRUE
7854,BUSINESS ADMINISTRATIVE SERVICES,TRUE
7855,BUSINESS MANAGEMENT SERVICES,TRUE
7860,Interior Decorating Service,TRUE
7861,EMPLOYMENT PLACEMENT SERVICES,TRUE
7862,CONTRACT STAFF SERVICES,TRUE
7863,SECRETARIAL SERVICES,TRUE
7864,SECURITY & INVEST SERVICES (EXC POLICE),TRUE
7865,PEST CONTROL SERVICES,TRUE
7866,CLEANING SERVICES,TRUE
7867,CONTRACT PACKING SERVICES,TRUE
7868,Credit Bureau/Debt Collecting Service,TRUE
7869,BUSINESS SERVICES n.e.c.,TRUE
8111,CENTRAL GOVERNMENT ADMINISTRATION,TRUE
8112,STATE GOVERNMENT ADMINISTRATION,TRUE
8113,LOCAL GOVERNMENT ADMINISTRATION,TRUE
8120,JUSTICE,TRUE
8130,FOREIGN GOVERNMENT REPRESENTATION,TRUE
8200,DEFENCE,TRUE
8410,PRE-SCHOOL EDUCATION,TRUE
8424,Special School Education,TRUE
8425,Intermediate Education,TRUE
8431,HIGHER EDUCATION,TRUE
8432,TECHNICAL & FURTHER EDUCATION,TRUE
8440,OTHER EDUCATION,TRUE
8451,PRIVATE PRIMARY EDUCATION,TRUE
8452,PUBLIC PRIMARY EDUCATION,TRUE
8453,PRIVATE SECONDARY EDUCATION,TRUE
8454,PUBLIC SECONDARY EDUCATION,TRUE
8455,PRIVATE COMBINED PRIMARY & SECONDARY EDUCATION,TRUE
8456,PUBLIC COMBINED PRIMARY & SECONDARY EDUCATION,TRUE
8459,OTHER SCHOOL EDUCATION,TRUE
8621,GENERAL PRACTICE MEDICAL SERVICES,TRUE
8622,SPECIALIST MEDICAL SERVICES,TRUE
8623,DENTAL SERVICES,TRUE
8631,PATHOLOGY SERVICES,TRUE
8632,OPTOMETRY & OPTICAL DISPENSING,TRUE
8633,AMBULANCE SERVICES,TRUE
